X,Y,theta,KAM,IQ,SE
0,0,0.0,0.0,nan,0.0
0,1,0.0,0.0,nan,0.0
0,2,0.0,0.0,nan,0.0
0,3,0.0,0.0,nan,0.0
0,4,0.0,0.0,nan,0.0
0,5,0.0,0.0,nan,0.0
0,6,0.0,0.0,nan,0.0
0,7,0.0,0.0,nan,0.0
0,8,0.0,0.0,nan,0.0
0,9,0.0,0.0,nan,0.0
0,10,0.0,0.0,nan,0.0
0,11,0.0,0.0,nan,0.0
0,12,0.0,0.0,nan,0.0
0,13,0.0,0.0,nan,0.0
0,14,0.0,0.0,nan,0.0
0,15,0.0,0.0,nan,0.0
0,16,0.0,0.0,nan,0.0
0,17,0.0,0.0,nan,0.0
0,18,0.0,0.0,nan,0.0
0,19,0.0,0.0,nan,0.0
0,20,0.0,0.0,nan,0.0
0,21,0.0,0.0,nan,0.0
0,22,0.0,0.0,nan,0.0
0,23,0.0,0.0,nan,0.0
0,24,0.0,0.0,nan,0.0
0,25,0.0,0.0,nan,0.0
0,26,0.0,0.0,nan,0.0
0,27,0.0,0.0,nan,0.0
0,28,0.0,0.0,nan,0.0
0,29,0.0,0.0,nan,0.0
0,30,0.0,0.0,nan,0.0
0,31,0.0,0.0,nan,0.0
0,32,0.0,0.0,nan,0.0
0,33,0.0,0.0,nan,0.0
0,34,0.0,0.0,nan,0.0
0,35,0.0,0.0,nan,0.0
0,36,0.0,0.0,nan,0.0
0,37,0.0,0.0,nan,0.0
0,38,0.0,0.0,nan,0.0
0,39,0.0,0.0,nan,0.0
0,40,0.0,0.0,nan,0.0
1,0,0.0,0.0,nan,0.0
1,1,0.0,0.0,nan,0.0
1,2,0.0,0.0,nan,0.0
1,3,0.0,0.0,nan,0.0
1,4,0.0,0.0,nan,0.0
1,5,0.0,0.0,nan,0.0
1,6,0.0,0.0,nan,0.0
1,7,0.10928021804831572,0.0,nan,0.625
1,8,0.21856043609663145,0.0,nan,1.25
1,9,0.3278406541449472,0.0,nan,1.875
1,10,0.3278406541449472,0.0,nan,1.875
1,11,0.3278406541449472,0.0,nan,1.875
1,12,0.31826805054739526,0.0,nan,1.875
1,13,0.2089878324990795,0.0,nan,1.25
1,14,0.09970761445076379,0.0,nan,0.625
1,15,0.0,0.0,nan,0.0
1,16,0.0,0.0,nan,0.0
1,17,0.0,0.0,nan,0.0
1,18,0.0,0.0,nan,0.0
1,19,0.0,0.0,nan,0.0
1,20,0.0,0.0,nan,0.0
1,21,0.0,0.0,nan,0.0
1,22,0.062308448189908223,0.0,nan,0.625
1,23,0.18692534456972468,0.0,nan,1.875
1,24,0.29790988297204524,0.0,nan,2.5
1,25,0.3952620633968704,0.0,nan,2.5
1,26,0.7199733898308484,0.0,nan,3.75
1,27,0.37847011356243576,0.0,nan,1.875
1,28,0.0,0.0,nan,0.0
1,29,0.0,0.0,nan,0.0
1,30,0.0,0.0,nan,0.0
1,31,0.0,0.0,nan,0.0
1,32,0.1002706179484417,0.0,nan,0.625
1,33,0.2005412358968834,0.0,nan,1.25
1,34,0.3008118538453251,0.0,nan,1.875
1,35,0.3008118538453251,0.0,nan,1.875
1,36,0.3008118538453251,0.0,nan,1.875
1,37,0.3008118538453251,0.0,nan,1.875
1,38,0.2937871665890596,0.0,nan,1.875
1,39,0.38000841002497027,0.0,nan,2.5
1,40,0.0,0.0,nan,0.0
2,0,0.0,0.0,nan,0.0
2,1,0.0932459306921762,0.0,nan,0.625
2,2,0.0,0.0,nan,0.0
2,3,0.0,0.0,nan,0.0
2,4,0.0,0.0,nan,0.0
2,5,0.0,0.0,nan,0.0
2,6,0.0,0.0,nan,0.0
2,7,0.0,0.0,nan,0.0
2,8,0.0,0.0,nan,0.0
2,9,0.0,0.0,nan,0.0
2,10,0.0,0.0,nan,0.0
2,11,0.0,0.0,nan,0.0
2,12,0.0,0.0,nan,0.0
2,13,0.0,0.0,nan,0.0
2,14,0.0,0.0,nan,0.0
2,15,0.0,0.0,nan,0.0
2,16,0.0,0.0,nan,0.0
2,17,0.0,0.0,nan,0.0
2,18,0.0,0.0,nan,0.0
2,19,0.0,0.0,nan,0.0
2,20,0.0,0.0,nan,0.0
2,21,0.062308448189908223,0.0,nan,0.625
2,22,0.18692534456972468,0.0,nan,1.875
2,23,0.1869253445697245,0.0,nan,1.875
2,24,0.06230844818990817,0.0,nan,0.625
2,25,0.11098453840232075,0.0,nan,0.625
2,26,0.472355329841856,0.0,nan,2.5
2,27,0.3699204525009856,0.0,nan,1.875
2,28,0.0,0.0,nan,0.0
2,29,0.0,0.0,nan,0.0
2,30,0.0,0.0,nan,0.0
2,31,0.0,0.0,nan,0.0
2,32,0.0,0.0,nan,0.0
2,33,0.0,0.0,nan,0.0
2,34,0.0,0.0,nan,0.0
2,35,0.0,0.0,nan,0.0
2,36,0.0,0.0,nan,0.0
2,37,0.0,0.0,nan,0.0
2,38,0.0,0.0,nan,0.0
2,39,0.0932459306921762,0.0,nan,0.625
2,40,0.0,0.0,nan,0.0
3,0,0.0,0.0,nan,0.0
3,1,0.3729837227687048,0.0,nan,2.5
3,2,0.2797377920765286,0.0,nan,1.875
3,3,0.1864918613843524,0.0,nan,1.25
3,4,0.0932459306921762,0.0,nan,0.625
3,5,0.0,0.0,nan,0.0
3,6,0.0,0.0,nan,0.0
3,7,0.0,0.0,nan,0.0
3,8,0.0,0.0,nan,0.0
3,9,0.0,0.0,nan,0.0
3,10,0.0,0.0,nan,0.0
3,11,0.0,0.0,nan,0.0
3,12,0.0,0.0,nan,0.0
3,13,0.0,0.0,nan,0.0
3,14,0.0,0.0,nan,0.0
3,15,0.0,0.0,nan,0.0
3,16,0.0,0.0,nan,0.0
3,17,0.0,0.0,nan,0.0
3,18,0.0,0.0,nan,0.0
3,19,0.062308448189908223,0.0,nan,0.625
3,20,0.12461689637981645,0.0,nan,1.25
3,21,0.2492337927596329,0.0,nan,2.5
